movie title,imdb id,cast,plot,director,rating,genres,poster,language cinema,votes,year,runtime,languages,trailer
Bunker: (2024),6769564,"['Kate Bosworth', 'Katie Cassidy', 'Devon Sawa', 'Tyrese Gibson', 'Christopher Backus', 'Lisa Long', 'Kale Browne', 'Lorena Sarria', 'Joey Anibal Mendez Jr.', 'Alyssa Lane', 'Eric Salamone']","Trapped in an underground fallout shelter, six people fight to stay alive as oxygen - and trust in each other - runs out.",Cecil Chambers,,"['Action', 'Crime', 'Thriller']",https://m.media-amazon.com/images/M/MV5BMTkzYTcxMjUtMWI2Yi00MzQ3LWFkYzMtNTE2M2ZjZDg4ZTdhXkEyXkFqcGdeQXVyMTg2NDYxMzc@.jpg,Hindi,,2024.0,,['English'],https://www.youtube.com/embed/RG50SZhKTvY
Being John Malkovich: (1999),120601,"['John Cusack', 'Cameron Diaz', 'Ned Bellamy', 'Eric Weinstein', 'Madison Lanc', 'Octavia Spencer', 'Mary Kay Place', 'Orson Bean', 'Catherine Keener', 'K.K. Dodds', 'Reginald C. Hayes', 'Byrne Piven', 'Judith Wetzell', 'John Malkovich', 'Kevin Carroll', 'Willie Garson', 'W. Earl Brown', 'Charlie Sheen', 'Gerald Emerick', 'Bill M. Ryusaki', 'Carlos Jacott', 'James Murray', 'Richard Fancy', 'Patti Tippo', 'Daniel Hansen', ""Mariah O'Brien"", 'Gregory Sporleder', 'Kelly Teacher', 'Jacqueline Benoît', 'William Buck', 'Christine D. Coleman', 'Jeanne Diehl', 'Audrey Gelfund', 'Yetta Ginsburg', 'Sylvester Jenkins', 'Roy C. Johnson', 'Eddie J. Low', 'Ralph W. Spaulding', 'David Wyler', 'Flori Wyler', 'Kevin Lee', 'Marlowe Bassett', 'Jennifer Canzoneri', 'Kristie Cordle', 'Denise Dabrowski', 'Kristin Condon', 'Charlene Grimsley', 'Christine Krejer', 'Erica Long', 'Yvonne Montelius', 'Jessica Neuberger', 'Sara Rifkin', 'Elizabeth Rivera', 'Chelsa Sjostrom', 'Pamela Hayden', 'Jayne Hess', 'Michelle Madden', ""Greg O'Neill"", 'Neil Ross', 'Bill Wittman', 'Lance Bangs', 'Kacee DeMasi', 'Andy Dick', 'Eddie L. Fauria', 'David Fincher', 'Jester Hairston', 'Isaac Hanson', 'Taylor Hanson', 'Zac Hanson', 'Dustin Hoffman', 'Victor Isaac', 'Spike Jonze', 'Brittany Krall', 'Sean Penn', 'Brad Pitt', 'Patrick Ryan', 'Winona Ryder', 'Gary Sinise', 'Trevor Lawrence Young']",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Spike Jonze,7.7,"['Comedy', 'Drama', 'Fantasy']",https://m.media-amazon.com/images/M/MV5BMTFlYjgyMjUtNmJhZS00MDY2LTg0ZmMtNTVlNDA2NTUwYTRjXkEyXkFqcGdeQXVyMTUzMDUzNTI3.jpg,American,352752.0,1999.0,['113'],['English'],https://www.youtube.com/embed/2UuRFr0GnHM
Aa Ondu Dina: (2018),12698702,"['Manjula Badami', 'Y.D. Badami', 'Raj Bahadur', 'Prasanna']",The fight for seats during election among the candidates and to what extent they go to gain support from the common man.,Sanjay,,['Drama'],https://m.media-amazon.com/images/M/MV5BOTQ4NjVmMTQtZWVlMi00NDA2LWFkODItN2ZmYjYwMDBhNTg0XkEyXkFqcGdeQXVyNjkwOTg4MTA@.jpg,Kannada,,2018.0,['112'],['Kannada'],https://www.youtube.com/embed/vAj-o_5GiQ4
Barbershop 2: Back in Business: (2004),337579,"['Ice Cube', 'Cedric The Entertainer', 'Sean Patrick Thomas', 'Eve', 'Troy Garity', 'Michael Ealy', 'Leonard Earl Howze', 'Harry Lennix', 'Robert Wisdom', 'Jazsmin Lewis', 'Carl Wright', 'DeRay Davis', 'Kenan Thompson', 'Queen Latifah', 'Garcelle Beauvais', 'Sam Sanders', 'Jackie Taylor', 'Julanne Chidi Hill', 'Linara Washington', 'Marcia Wright', 'Javon Johnson', 'Parvesh Cheena', 'Tom Wright', 'Chris Tinsey', 'Brian P. Weddington', 'Jay Deep', 'Tamara Della Anderson', 'Leon S. Rogers Jr.', 'J. David Shanks', 'Allen D. Edge', 'Finn Wilder', 'Mark Simmons', 'Norm Van Lier', 'Rome Anthony', 'Max Arciniega', 'Llou Johnson', 'Ray Thompson', 'Ronnel Taylor', 'Pierre S. Reed', 'Barrie D. Buckner Jr.', 'Devan Jones', 'Richard Pierre-Louis', 'Marvin Nelson', 'David Pompeii', 'Ron O.J. Parson', 'Phillip Edward Van Lear', 'Paul Christopher Hobbs', 'Chavez Ravine', 'E.J. Murray', 'Brad Armacost', 'Tiffany L. Addison', 'Mike McNamara', 'Clifton Williams', 'Antonio Polk', 'Keke Palmer', 'China L. Colston', 'Avant', 'Byron Glenn Willis', ""T'Shaun Barrett"", 'Tai Davis', 'Cory Stewart', 'Olumiji Olawumi', 'Susan Yoo', 'Joe Yau', 'Dick Johnson', 'Cynthia Maddox', 'Deon Cole', 'Vanessa Fraction', 'Janina Gavankar', 'J. Nicole Brooks', 'Charla Agers', 'Talia Toms', 'Corey L. Hemingway Sr.', 'Nicole Lynnae Sullivan', 'Mario K.P. Wilson', 'James Chisem', 'Idrees Degas', 'Terry Dorsey', 'Robert Herron', 'Michelle Shelton Huff', 'Spencer Kayden', 'Michael Kilcullen', 'Ryan Kitley', 'Brett Kloepfer', 'David Leonard', 'DeLance Minefee', 'Anasia Obioha', 'Aaron Stigger', 'Gisla Stringer', 'Meiko Taylor', 'Rick Touhy', 'Quin Walters', 'Dazelle Yvette']","The owner of an historic South Side Chicago barbershop is pressured to sell out to a land developer, but must face the impact this would have on his close-knit community.",Kevin Rodney Sullivan,5.7,"['Comedy', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTk4MTA2ODQ4MF5BMl5BanBnXkFtZTYwOTY1Njc3.jpg,American,15938.0,2004.0,['106'],['English'],https://www.youtube.com/embed/YQTD_yRV_bA
Crazy People: (1990),99316,"['Dudley Moore', 'Daryl Hannah', 'Paul Reiser', 'J.T. Walsh', 'Bill Smitrovich', 'Alan North', 'David Paymer', 'Danton Stone', 'Paul Bates', 'Dick Cusack', 'Doug Yasuda', 'Floyd Vivino', 'Mercedes Ruehl', 'Ben Hammer', 'David Packer', 'Joyce Leigh Bowden', 'Randell Haynes', 'James V. Albanese', 'Scott Kitts', 'Lorri Lindberg', 'Ann Pierce', 'Faris Herbert Harton', 'Kim Clark', 'Don Hupp', 'Pam La Testa', 'Bob Martana', 'Jill Pierce', 'Christine Larson-Nitzsche', 'Doris Dworsky', 'Elaine Bays', 'John Bennes', 'Julian Bell', 'Maggie Han', 'Robert K. Weiss', 'Farryl Lovett', 'Sharon Frazier', 'Lynda Clark', 'Mark Joy', 'Pamela D. Reid', 'J. Michael Hunter', 'Alex Barad', 'David Muir', 'Alan Haufrect', 'Ed Lillard', 'Steve Bradford', 'Margaret Poole Griffin', 'Mitch Markowitz', 'Mick McGovern', 'Raf Nazario', 'Lloyd Kino', 'Robert Ito', 'John Marshall Jones', 'John Terlesky', 'Larry King', 'John Blyth Barrymore', 'Allison Caine', 'Corey Carrier', 'Renata Hickey', 'Donna Lou Miller', 'Harry L. Seddon']","A bitter ad executive who has reached his breaking point lands in a mental institution, where his career actually begins to thrive with help from his fellow patients.",Tony Bill,6.0,"['Comedy', 'Drama']",https://m.media-amazon.com/images/M/MV5BZDYwMWFjYzUtZjQ5NC00YjI3LWI0MTEtNmMyYjJkZWU5NmI0XkEyXkFqcGdeQXVyNzc5MjA3OA@@.jpg,American,4961.0,1990.0,['90'],['English'],https://www.youtube.com/embed/B8sgkc2E5oM
Sa Re Ga Ma Pa: (1995),1755864,"['Shaan', 'Aditya Narayan', 'Shreya Ghoshal', 'Himesh Reshammiya', 'Vishal Dadlani', 'Sonu Nigam', 'Pritam', 'Kumar Sanu', 'Ishita Arun', 'Bappi Lahiri', 'Mika Singh', 'Sajid Ali', 'Hariharan', 'Ismail Darbar', 'Lesle Lewis', 'Wajid Ali', 'Shekhar Ravjiani', 'Aishwarya Nigam', 'Ujjaini Mukhejree', 'Kushal Paul', 'Aneek Dhar', 'Sachin Kumar Valmiki', 'Jugpreet Bajwa', 'Rupali Jagga', 'Jyotica Tangri', 'Shankar Mahadevan', 'Arpita Mukherjee', 'Rahul Saxena', 'Tia Bajpai', 'Sumedha Karmahe', 'Raja Hassan', 'Junaid Sheikh', 'Amanat Ali', 'Nirupama Dey', 'Poonam Yadav', 'Mauli Dave', 'Priyanka Chopra Jonas', 'Salman Khan', 'Ranbir Kapoor', 'Ajay Devgn', 'Kareena Kapoor', 'Rishi Kapoor', 'Dia Mirza', 'Purab Kohli', 'Asha Bhosle', 'Maniesh Paul']",Indian music reality show.,,6.3,"['Musical', 'Reality-TV']",https://m.media-amazon.com/images/M/MV5BOWFkNDUyNTYtZGNjOS00MGJiLWFhYmMtNjU1OTMzZjMxNWNlXkEyXkFqcGdeQXVyODAzNzAwOTU@.jpg,Hindi,165.0,1995.0,,['Hindi'],https://www.youtube.com/embed/9j-Yuxa5lac
Ann and Eve: (1970),66774,"['Gio Petré', 'Marie Liljedahl', 'Francisco Rabal', 'Julián Mateos', 'Olivera Katarina', 'Bozidarka Frajt', 'Heinz Hopf', 'Nevenka Filipovic', 'Erik Hell', 'Zaim Muzaferija', 'Edo Perocevic', 'Duje Novakovic', 'Mirko Boman', 'Ignac Pavkovic', 'Agneta Prytz', 'Iwar Wiklander', 'Eva Nordenskjöld', 'Birger Malmsten', 'Tord Peterson', 'Ann Ericsson', 'Elisabeth Hedlund', 'Glorie Softleigh', 'Leo Butorac', 'Marina Vlady']","An erotic drama about a youthful bride-to-be who takes a holiday to Yugoslavia with a cynical and evil lesbian film critic (and murderess) that leads to debauchery, degradation with a dwarf, a dinner with naked entertainers and other highlights...—Stefan Nylen <red@defekt.cinemacabre.se>",Arne Mattsson,4.5,['Drama'],https://m.media-amazon.com/images/M/MV5BZTY2ZWFiZWEtMjA2Zi00YzliLTk5YzMtYzFiZTFhYjIyMTZjXkEyXkFqcGdeQXVyMDEwMDg3Mg@@.jpg,American,160.0,1970.0,['104'],"['Swedish', 'Serbian']",https://www.youtube.com/embed/nHcHG-u-Aeo
London Kills Me: (1991),102328,"['Justin Chadwick', 'Fiona Shaw', 'Brad Dourif', 'Naveen Andrews', 'Stevan Rimkus', 'Emer McCourt', 'Steven Mackintosh', 'Tony Haygarth', 'Joe Alessi', 'David Hounslow', 'Ben Peel', 'Danny John-Jules', 'Oliver Kester', 'Paudge Behan', 'Nick Dunning', 'Yemi Goodman Ajibade', 'Anthony Cairns', 'Rowena King', 'Veronica Smart', 'Sandy McDade', 'Tracey MacLeod', 'Roshan Seth', 'George Miller', 'Philip Glenister', 'Charlie Creed-Miles', 'Delroy Nunes', 'Karl Collins', 'Sean Pertwee', 'Pippa Hinchley', 'Lawrence Stevenson', 'Greg Saunders', 'Marianne Jean-Baptiste', 'Sally Whitman', 'Leila Whitman', 'Garry Cooper', 'Gordon Warnecke', 'Evelyn Doggart', 'Chale Charles', 'James Caplan', 'Sarah Worth', 'Eleanor David', 'Alun Armstrong', 'Joe England', 'Dave Atkins', 'Jeff Mirza']","For want of a nail a shoe was lost, for want of a shoe... a young man's life is almost lost, which is exactly what this film is all about: a man barely twenty who wants desperately to pull out of London's drug world by taking a job as a waiter in a 'normal' restaurant. But to do this he must come up with a ""sensible pair of shoes,"" an item that his homeless meanderings hasn't provided him. In fact, the shoes become a symbol of his striving to break away from those, like himself, who are caught up in the tragedy of drugs and lasciviousness which is so aptly described... sometimes graphically, always realistically... in this film.—BOB STEBBINS <stebinsbob@aol.com>",Hanif Kureishi,6.1,"['Comedy', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTg1MzMxODQ3Nl5BMl5BanBnXkFtZTYwODA4Mjg5.jpg,American,646.0,1991.0,['107'],['English'],https://www.youtube.com/embed/rNjtNdLCJAA
Looker: (1981),82677,"['Albert Finney', 'James Coburn', 'Susan Dey', 'Leigh Taylor-Young', 'Dorian Harewood', 'Tim Rossovich', 'Darryl Hickman', 'Kathryn Witt', 'Terri Welles', 'Michael Hawkins', 'Ashley Cox', 'Donna Kei Benz', 'Catherine Parks', 'Terry Kiser', 'Georgann Johnson', 'Richard Venture', 'Anthony Charnota', 'Terrence E. McNally', 'David Adams', 'John Sanderford', 'Scott Mulhern', 'Arthur Taxier', 'Richard Milholland', 'Jeana Keough', 'Barry Jenner', 'Derrel Maury', 'Paul Jasmin', 'Eloise Hardt', 'Melissa Prophet', 'Lila Christianson', 'Lorna Christianson', 'Gary Combs', 'Kelly Black', 'Kim Johnson', 'Lori Sutton', 'Vanna White', 'Jacqui Evans', 'Theresa Hunt', 'Pamela Jean Bryant', 'Anita Merritt', 'Carol Teesdale', 'Jackie Forsythe', 'Stefani Kiessig', 'Kathryn Redding', 'Lourinda Cordero', 'Pamela Bromshagen', 'Jerry Douglas', 'Randi Brooks', 'Jesse Logan', 'Joseph G. Medalis', 'Estelle Omens', 'Steve Strong', 'Tawny Moyer', 'Richard Christie', 'Katherine De Hetre', 'Allison Balson', 'Adam Farrar', 'Joyce Fell', 'Jerry Flattery', 'Loring Pickering', 'Kelby Anno', 'Randall England', 'Irena Ferris', 'Gordon Gavin', 'Tom Holleron', 'Maile Souza', 'Cynthia Mobley', 'Vin Scully', 'John Erwin', 'Susanne Severeid']","Three of four models, who had plastic surgery done by Larry after a computed list, are dead. Neither the cops nor Larry believe they're suicides. Larry investigates and stays with the fourth model. Who's behind the lists and murders?",Michael Crichton,6.1,"['Drama', 'Sci-Fi', 'Thriller']",https://m.media-amazon.com/images/M/MV5BZTY2OTk5OGYtOGUyNS00MWJlLTg3NWEtM2Y0NmFlZjE4YWE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,American,6159.0,1981.0,['93'],['English'],https://www.youtube.com/embed/yoT-r1slAZ4
Spencer: (2021),12536294,"['Kristen Stewart', 'Timothy Spall', 'Sally Hawkins', 'Jack Nielen', 'Freddie Spry', 'Jack Farthing', 'Sean Harris', 'Stella Gonet', 'Richard Sammel', 'Elizabeth Berrington', 'Lore Stefanek', 'Amy Manson', 'James Harkness', 'Laura Benson', 'Wendy Patterson', 'Libby Rodliffe', 'John Keogh', 'Marianne Graffam', 'Ben Plunkett-Reynolds', 'Ryan Wichert', 'Michael Epp', 'Tom Hudson', 'James Gerard', 'Thomas Douglas', 'Ian Ashpitel', 'Emma Darwall-Smith', 'Kimia Schmidt', 'Greta Bücker', 'Henry Castello', 'Christin Schreiber', 'Camille Moltzen', 'Mudassar Dar', 'Niklas Kohrt', 'Peter Lee', 'Sami Amber', 'Oriana Gordon', 'Olga Hellsing', 'Shaun Lucas', 'Radizero', 'Richard Tree', 'Matthias Wolkowski']","Diana Spencer, struggling with mental-health problems during her Christmas holidays with the Royal Family at their Sandringham estate in Norfolk, England, decides to end her decade-long marriage to Prince Charles.",Pablo Larraín,6.6,"['Biography', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5.jpg,American,76331.0,2021.0,['117'],['English'],https://www.youtube.com/embed/ORvPh_gdD_M
